kabupaten_kota,ipm_2015,ipm_2016,ipm_2017,ipm_2018,ipm_2019,ipm_2020,ipm_2021,ipm_2022,ipm_2023,ipm_2024
Kota Jakarta Barat,79.72,80.34,80.47,80.88,81.21,81.38,81.76,82.51,83.02,83.64
Kota Jakarta Pusat,79.69,80.22,80.49,81.01,81.24,81.39,81.56,82.11,82.53,83.01
Kota Jakarta Selatan,83.37,83.94,84.13,84.44,84.75,84.72,84.9,85.21,86.07,86.94
Kota Jakarta Timur,80.73,81.28,81.61,82.06,82.69,82.66,82.97,83.45,84.13,84.65
Kota Jakarta Utara,78.3,78.78,79.47,79.87,80.17,80.29,80.51,80.81,81.11,81.39
Kota Jambi,75.58,76.14,76.74,77.41,78.26,78.37,79.12,79.58,80.15,81.04
Kota Jayapura,78.05,78.56,79.23,79.58,80.16,79.94,80.11,80.61,81.14,81.67
Kota Kediri,75.67,76.33,77.13,77.58,78.08,78.23,78.6,79.59,80.44,81.35
Kota Kendari,81.43,81.66,81.83,82.22,82.86,83.53,84.15,84.51,84.85,85.33
Kota Kotamobagu,70.7,71.68,72.0,72.55,73.22,72.97,73.47,73.96,74.43,75.27
Kota Kupang,77.95,78.14,78.25,78.84,79.55,79.71,79.74,80.2,80.62,81.08
Kota Langsa,74.74,75.41,75.89,76.34,77.16,77.17,77.44,77.82,78.36,78.81
Kota Lhokseumawe,75.11,75.78,76.34,76.62,77.3,77.31,77.57,78.04,78.92,79.55
Kota Lubuklinggau,73.17,73.57,73.67,74.09,74.81,74.78,74.89,75.53,76.19,76.82
Kota Madiun,79.48,80.01,80.13,80.33,80.88,80.91,81.25,82.01,82.71,83.48
Kota Magelang,76.39,77.16,77.84,78.31,78.8,78.99,79.43,80.39,81.17,82.15
Kota Malang,80.05,80.46,80.65,80.89,81.32,81.45,82.04,82.71,83.39,84.06
Kota Manado,77.32,77.59,78.05,78.41,79.12,78.93,79.2,79.66,80.14,80.63
Kota Mataram,76.37,77.2,77.84,78.43,79.1,78.91,79.14,79.59,80.09,80.6
