kabupaten_kota,garis_kemiskinan_2015,garis_kemiskinan_2016,garis_kemiskinan_2017,garis_kemiskinan_2018,garis_kemiskinan_2019,garis_kemiskinan_2020,garis_kemiskinan_2021,garis_kemiskinan_2022,garis_kemiskinan_2023,garis_kemiskinan_2024,ipm_2015,ipm_2016,ipm_2017,ipm_2018,ipm_2019,ipm_2020,ipm_2021,ipm_2022,ipm_2023,ipm_2024,pengeluaran_perkapita_2015,pengeluaran_perkapita_2016,pengeluaran_perkapita_2017,pengeluaran_perkapita_2018,pengeluaran_perkapita_2019,pengeluaran_perkapita_2020,pengeluaran_perkapita_2021,pengeluaran_perkapita_2022,pengeluaran_perkapita_2023,pengeluaran_perkapita_2024
Berau,426681.0,465161.0,496385.0,502564.0,526615.0,568500.0,595550.0,624948.0,677819.0,731250.0,72.72,73.05,73.56,74.01,74.88,74.71,75.2,75.74,76.21,76.66,11572.0,11675.0,11843.0,12207.0,12726.0,12018.0,12435.0,13095.0,13620.0,14101.0
Biak Numfor,466074.0,491278.0,521782.0,528498.0,543971.0,574402.0,602931.0,627921.0,657182.0,677659.0,70.85,71.13,71.56,71.96,72.57,72.19,72.33,72.85,73.46,73.98,9603.0,9647.0,9812.0,9969.0,10211.0,9705.0,9607.0,9788.0,10229.0,10600.0
Bima,255962.0,282854.0,288703.0,308695.0,327602.0,356352.0,363228.0,395040.0,429327.0,451386.0,63.48,64.15,65.01,65.62,66.37,66.3,66.66,67.57,68.28,68.94,7371.0,7585.0,8006.0,8354.0,8631.0,8468.0,8495.0,8699.0,8963.0,9418.0
Bintan,313277.0,341812.0,354012.0,367294.0,384396.0,417654.0,424426.0,447933.0,474674.0,496764.0,71.92,72.38,72.91,73.41,73.98,74.13,74.57,74.99,75.7,76.18,13529.0,13667.0,13828.0,14256.0,14730.0,14482.0,14393.0,14739.0,14882.0,15078.0
Bireuen,301027.0,317562.0,335314.0,358399.0,393198.0,410203.0,422685.0,451163.0,486667.0,494866.0,69.77,70.21,71.11,71.37,72.27,72.28,72.33,73.16,73.63,74.45,7622.0,7885.0,8237.0,8378.0,8889.0,8857.0,8867.0,9438.0,9758.0,10150.0
Blitar,255966.0,272358.0,285474.0,305440.0,318534.0,325675.0,335573.0,355511.0,387733.0,408399.0,68.13,68.88,69.33,69.93,70.57,70.58,71.05,71.86,72.49,73.09,9272.0,9467.0,9828.0,10327.0,10861.0,10654.0,10757.0,11001.0,11499.0,12020.0
Blora,257581.0,279972.0,291114.0,308520.0,335837.0,353259.0,363649.0,390478.0,425135.0,464959.0,66.22,66.61,67.52,67.95,68.65,68.84,69.37,69.95,70.63,71.39,8699.0,8846.0,9065.0,9385.0,9795.0,9571.0,9669.0,10067.0,10541.0,10926.0
Boalemo,309227.0,332297.0,348581.0,368860.0,385122.0,426961.0,450724.0,472906.0,525007.0,551189.0,62.86,63.42,64.22,64.99,65.53,65.91,66.42,67.27,68.18,68.74,7817.0,7895.0,8325.0,8654.0,8874.0,8789.0,8940.0,9543.0,9941.0,10401.0
Bogor,290874.0,317430.0,337550.0,359787.0,373799.0,402877.0,418483.0,443787.0,482174.0,513512.0,67.77,68.32,69.13,69.69,70.65,70.4,70.6,71.2,71.78,72.39,9368.0,9537.0,9901.0,10323.0,10683.0,10317.0,10410.0,10860.0,11153.0,11563.0
Bojonegoro,284319.0,295250.0,309564.0,330544.0,347786.0,362383.0,380653.0,403403.0,435936.0,471457.0,66.17,66.73,67.28,67.85,68.75,69.04,69.59,70.12,70.85,71.78,8993.0,9420.0,9553.0,9926.0,10265.0,10121.0,10221.0,10323.0,10776.0,11204.0
Bolaang Mongondow,257170.0,277338.0,287751.0,295834.0,315400.0,325227.0,343302.0,355639.0,394032.0,415628.0,65.03,65.73,66.08,66.91,67.82,67.89,68.16,68.95,69.62,70.29,9369.0,9657.0,9761.0,10054.0,10470.0,10128.0,10220.0,10614.0,10915.0,11507.0
Bolaang Mongondow Selatan,256141.0,276229.0,288862.0,295875.0,316305.0,327648.0,345819.0,358465.0,397381.0,419865.0,63.72,63.92,64.05,64.49,65.28,65.0,65.42,65.9,66.4,67.14,8242.0,8371.0,8452.0,8743.0,9229.0,8837.0,8939.0,9238.0,9593.0,10114.0
Bolaang Mongondow Timur,261715.0,282240.0,293187.0,302924.0,323989.0,335241.0,353872.0,368578.0,411409.0,433873.0,63.81,64.44,64.73,65.21,66.08,65.99,66.55,67.21,67.95,68.53,8025.0,8361.0,8568.0,8856.0,9483.0,8998.0,9115.0,9390.0,9741.0,10191.0
Bolaang Mongondow Utara,207328.0,223588.0,230974.0,238645.0,254835.0,264227.0,275369.0,283627.0,316327.0,334448.0,64.46,65.16,65.6,66.32,66.91,66.99,67.39,68.06,68.64,69.32,8212.0,8593.0,8739.0,8992.0,9366.0,9062.0,9143.0,9285.0,9652.0,10170.0
Bombana,246908.0,266717.0,270627.0,288201.0,308396.0,325949.0,346726.0,368576.0,406706.0,423183.0,63.65,64.02,64.49,65.04,65.65,66.05,66.25,66.81,67.43,68.15,7392.0,7607.0,7908.0,8190.0,8344.0,8234.0,8310.0,8680.0,9132.0,9692.0
Bondowoso,313734.0,331975.0,343124.0,363443.0,380350.0,408352.0,423150.0,449760.0,494000.0,517741.0,63.95,64.52,64.75,65.27,66.09,66.43,66.59,67.31,67.99,68.65,9519.0,10007.0,10086.0,10429.0,10665.0,10610.0,10690.0,10851.0,11255.0,11689.0
Bone,252392.0,260552.0,272555.0,309076.0,325422.0,345009.0,360177.0,380513.0,408244.0,423727.0,63.11,63.86,64.16,65.04,65.67,66.06,66.4,67.01,67.81,68.36,7930.0,8275.0,8470.0,8686.0,8954.0,8963.0,9030.0,9277.0,9682.0,10084.0
Bone Bolango,304627.0,327354.0,339614.0,363982.0,380029.0,424275.0,449543.0,475874.0,505252.0,531286.0,66.83,67.48,68.11,69.06,69.63,69.98,70.25,70.9,71.51,72.38,8900.0,9115.0,9597.0,9827.0,10147.0,10052.0,10198.0,10676.0,11114.0,11717.0
Boven Digoel,379630.0,406678.0,444813.0,452723.0,458012.0,486179.0,520245.0,550445.0,585228.0,622315.0,59.02,59.35,60.14,60.83,61.51,61.53,61.62,62.52,63.46,64.26,7717.0,7770.0,8048.0,8211.0,8300.0,7947.0,7864.0,8086.0,8396.0,8616.0
Boyolali,263734.0,283921.0,293405.0,304575.0,332996.0,347520.0,361922.0,383030.0,420339.0,442071.0,71.74,72.18,72.64,73.22,73.8,74.25,74.4,74.97,75.41,75.96,11806.0,12192.0,12262.0,12758.0,13079.0,12910.0,13031.0,13250.0,13716.0,14195.0
Brebes,340538.0,364059.0,382125.0,405932.0,414642.0,431897.0,445853.0,472326.0,513339.0,542495.0,63.18,63.98,64.86,65.68,66.12,66.11,66.32,67.03,67.95,68.46,8898.0,9148.0,9554.0,9890.0,10238.0,10058.0,10152.0,10514.0,10993.0,11389.0
Buleleng,327357.0,350902.0,372399.0,395678.0,401377.0,424602.0,461018.0,496390.0,537262.0,570129.0,70.03,70.65,71.11,71.7,72.3,72.55,72.56,73.45,73.97,74.52,12587.0,12814.0,12995.0,13235.0,13780.0,13463.0,13362.0,13529.0,13987.0,14377.0
Bulukumba,272703.0,274318.0,284108.0,310753.0,330161.0,351180.0,369022.0,390040.0,406882.0,422111.0,65.58,66.46,67.08,67.7,68.28,68.99,69.62,70.34,71.21,71.97,9777.0,10040.0,10217.0,10331.0,10480.0,10513.0,10632.0,10941.0,11392.0,11807.0
Bulungan,352063.0,383642.0,398397.0,413294.0,448548.0,472569.0,486524.0,514320.0,551925.0,572546.0,69.37,69.88,70.74,71.23,71.66,71.1,71.8,72.08,72.72,73.34,8877.0,8933.0,9094.0,9310.0,9648.0,9121.0,9423.0,9641.0,10205.0,10581.0
Bungo,272254.0,292573.0,310428.0,366226.0,390439.0,422801.0,436020.0,470545.0,517119.0,607714.0,68.34,68.77,69.04,69.42,69.86,69.92,70.15,70.55,71.06,71.92,10676.0,10937.0,11016.0,11352.0,11662.0,11471.0,11670.0,11956.0,12224.0,12820.0
Buol,271525.0,304085.0,314556.0,332163.0,351135.0,375794.0,387444.0,410824.0,438363.0,477640.0,65.61,66.37,66.69,67.3,67.69,67.82,68.25,68.72,69.57,70.28,7475.0,7740.0,7934.0,8079.0,8151.0,7942.0,7974.0,8176.0,8678.0,9051.0
Buru,383904.0,396313.0,415403.0,420083.0,463169.0,492055.0,503254.0,530858.0,584277.0,610346.0,65.75,66.63,67.61,68.25,68.91,68.95,69.33,69.94,70.56,71.01,9615.0,9806.0,10036.0,10203.0,10400.0,10316.0,10347.0,10414.0,10879.0,11261.0
Buru Selatan,500864.0,514124.0,542036.0,542747.0,596469.0,628659.0,644441.0,677044.0,743721.0,769919.0,61.48,62.19,62.75,63.62,64.42,64.69,64.8,65.37,66.23,67.09,7026.0,7175.0,7337.0,7506.0,7627.0,7566.0,7600.0,7716.0,8108.0,8474.0
Buton,198183.0,209245.0,211485.0,233201.0,254013.0,262541.0,270212.0,279627.0,302183.0,313831.0,62.78,63.69,64.47,65.08,65.67,65.98,66.32,67.23,68.12,68.88,6829.0,6950.0,7117.0,7209.0,7366.0,7307.0,7324.0,7594.0,7995.0,8401.0
Buton Utara,258425.0,275544.0,280974.0,306437.0,331555.0,345039.0,355288.0,373792.0,403834.0,422483.0,65.23,65.95,66.4,67.13,67.68,67.87,68.08,69.0,69.7,70.6,6998.0,7168.0,7249.0,7393.0,7534.0,7470.0,7496.0,7935.0,8289.0,8746.0
Ciamis,296647.0,319150.0,334038.0,357382.0,363750.0,378108.0,389676.0,405294.0,442108.0,467497.0,68.02,68.45,68.87,69.63,70.39,70.49,70.93,71.45,72.05,72.56,8296.0,8432.0,8658.0,9190.0,9557.0,9288.0,9259.0,9428.0,9750.0,10085.0
Cianjur,287939.0,304255.0,320390.0,340882.0,350760.0,371699.0,387631.0,406829.0,437327.0,466509.0,62.42,62.92,63.7,64.62,65.38,65.36,65.56,65.94,66.55,67.24,6877.0,7074.0,7300.0,7874.0,8290.0,7980.0,8052.0,8244.0,8626.0,9026.0
Cilacap,273828.0,292525.0,307041.0,320106.0,337572.0,351735.0,363367.0,384955.0,419429.0,441093.0,67.77,68.6,68.9,69.56,69.98,69.95,70.42,70.99,71.83,72.38,9351.0,9677.0,9896.0,10274.0,10639.0,10440.0,10534.0,10904.0,11432.0,11868.0
Cirebon,327032.0,333758.0,346240.0,370747.0,381372.0,393452.0,404635.0,416914.0,451853.0,475046.0,66.07,66.7,67.39,68.05,68.69,68.75,69.12,70.06,70.95,71.44,9261.0,9463.0,9650.0,10212.0,10670.0,10342.0,10368.0,10791.0,11128.0,11529.0
