kabupaten_kota,garis_kemiskinan_2015,garis_kemiskinan_2016,garis_kemiskinan_2017,garis_kemiskinan_2018,garis_kemiskinan_2019,garis_kemiskinan_2020,garis_kemiskinan_2021,garis_kemiskinan_2022,garis_kemiskinan_2023,garis_kemiskinan_2024
Konawe Utara,216578.0,232307.0,244391.0,260861.0,273544.0,305100.0,321986.0,340061.0,381620.0,407710.0
Kota Ambon,473236.0,486931.0,514690.0,532719.0,571315.0,596042.0,621482.0,661016.0,716560.0,750166.0
Kota Balikpapan,485665.0,498721.0,530710.0,545971.0,572108.0,613622.0,657521.0,680499.0,743084.0,782248.0
Kota Banda Aceh,523444.0,541732.0,572295.0,607391.0,628493.0,674977.0,698617.0,737016.0,814530.0,862944.0
Kota Bandar Lampung,476055.0,502968.0,540679.0,562277.0,588177.0,634743.0,654576.0,698598.0,761790.0,787260.0
Kota Bandung,376311.0,400541.0,420579.0,448902.0,474448.0,500452.0,515396.0,545675.0,591124.0,614707.0
Kota Banjar,271017.0,289369.0,305603.0,324958.0,334590.0,344363.0,357210.0,373510.0,408710.0,430590.0
Kota Banjar Baru,463579.0,505380.0,539608.0,572195.0,614757.0,652030.0,653556.0,692830.0,753899.0,781405.0
Kota Banjarmasin,384659.0,417174.0,445428.0,477210.0,509773.0,543546.0,606330.0,651383.0,708617.0,743872.0
Kota Batam,525452.0,565380.0,591589.0,650406.0,686956.0,707856.0,740109.0,783730.0,854465.0,903960.0
Kota Batu,380393.0,398401.0,424354.0,467073.0,501016.0,509886.0,522819.0,564010.0,613985.0,642778.0
Kota Baubau,274066.0,291873.0,297991.0,311509.0,329977.0,344598.0,360766.0,376932.0,412008.0,431717.0
Kota Bekasi,497343.0,521813.0,544534.0,582723.0,617718.0,657953.0,692885.0,731392.0,795965.0,842927.0
Kota Bengkulu,494825.0,535893.0,584265.0,642314.0,660442.0,702578.0,740612.0,785905.0,810507.0,820354.0
Kota Bima,274394.0,293048.0,299346.0,323187.0,352593.0,383161.0,399193.0,432959.0,471841.0,496096.0
Kota Binjai,322091.0,343078.0,371387.0,380792.0,403798.0,433746.0,466554.0,499451.0,538638.0,577220.0
Kota Bitung,321549.0,337674.0,356120.0,368574.0,391479.0,416993.0,434642.0,458983.0,501139.0,518405.0
Kota Blitar,338532.0,356147.0,383021.0,425832.0,456778.0,465868.0,481229.0,517363.0,568280.0,596105.0
Kota Bogor,392405.0,416779.0,450078.0,480749.0,513343.0,547399.0,571425.0,608949.0,661384.0,699861.0
Kota Bontang,479060.0,513205.0,542985.0,549830.0,582188.0,636491.0,665572.0,697326.0,763661.0,801945.0
Kota Bukittinggi,379445.0,420478.0,441087.0,459371.0,475755.0,519470.0,540457.0,570032.0,619896.0,658640.0
Kota Cilegon,323935.0,347949.0,373147.0,428867.0,459469.0,504571.0,540032.0,572780.0,632703.0,663533.0
Kota Cimahi,386513.0,411665.0,433759.0,462969.0,484804.0,511375.0,522281.0,549450.0,590197.0,612567.0
Kota Cirebon,358654.0,373866.0,392725.0,426738.0,444574.0,457954.0,467248.0,485613.0,520579.0,545592.0
Kota Denpasar,463271.0,483821.0,512947.0,545357.0,571246.0,618064.0,662499.0,712815.0,778203.0,820512.0
Kota Depok,496747.0,522934.0,556470.0,615255.0,644860.0,688194.0,705084.0,744771.0,804984.0,843893.0
Kota Dumai,353079.0,369624.0,403244.0,418597.0,439152.0,484609.0,509002.0,543182.0,601348.0,631652.0
Kota Gorontalo,404620.0,437129.0,452758.0,482585.0,520095.0,569538.0,598363.0,643531.0,697650.0,723861.0
Kota Gunungsitoli,289428.0,304727.0,318585.0,327303.0,339671.0,370967.0,408190.0,426349.0,459787.0,493644.0
