kabupaten_kota,garis_kemiskinan_2015,garis_kemiskinan_2016,garis_kemiskinan_2017,garis_kemiskinan_2018,garis_kemiskinan_2019,garis_kemiskinan_2020,garis_kemiskinan_2021,garis_kemiskinan_2022,garis_kemiskinan_2023,garis_kemiskinan_2024
Tanggamus,309569.0,332302.0,341443.0,351167.0,359580.0,397984.0,410510.0,430697.0,463925.0,496000.0
Tanjung Jabung Barat,286671.0,303479.0,314436.0,348495.0,364012.0,396113.0,409631.0,453956.0,499318.0,575337.0
Tanjung Jabung Timur,301563.0,322389.0,338963.0,361574.0,374735.0,392778.0,406772.0,468201.0,514905.0,592432.0
Tapanuli Selatan,300449.0,326321.0,340065.0,343407.0,364798.0,397363.0,420431.0,445612.0,480834.0,512480.0
Tapanuli Tengah,307710.0,353753.0,367687.0,369471.0,376474.0,406646.0,429050.0,450940.0,489760.0,527227.0
Tapanuli Utara,291893.0,325606.0,344644.0,357464.0,377948.0,406813.0,437428.0,466316.0,499881.0,531593.0
Tapin,330033.0,369153.0,390488.0,405591.0,406367.0,446577.0,459160.0,484113.0,516532.0,561101.0
Tasikmalaya,255540.0,274470.0,284462.0,306759.0,311848.0,323880.0,333909.0,347917.0,378958.0,400148.0
Tebo,315053.0,338160.0,363698.0,379390.0,404473.0,435523.0,448461.0,485883.0,528310.0,590573.0
Tegal,282861.0,308270.0,319758.0,332298.0,365334.0,390520.0,404655.0,434638.0,470728.0,497315.0
Teluk Bintuni,541295.0,549169.0,583323.0,587770.0,644838.0,683667.0,693305.0,716834.0,787048.0,794285.0
Teluk Wondama,446542.0,456709.0,488233.0,508345.0,557702.0,588838.0,597676.0,614573.0,659187.0,710854.0
Temanggung,248866.0,268730.0,277707.0,287981.0,310176.0,323705.0,336034.0,354012.0,388369.0,416086.0
Timor Tengah Selatan,254454.0,276727.0,293617.0,302124.0,318986.0,338099.0,344239.0,382167.0,420783.0,436707.0
Timor Tengah Utara,290296.0,316487.0,335517.0,343965.0,363162.0,386990.0,394818.0,440155.0,485744.0,499772.0
Tojo Una-Una,362840.0,404437.0,417508.0,442186.0,472245.0,504889.0,521534.0,547910.0,597788.0,622000.0
Toli-Toli,244472.0,272499.0,281882.0,299052.0,317448.0,343770.0,354427.0,378317.0,405556.0,441975.0
Tolikara,218759.0,228288.0,252132.0,371589.0,382936.0,404812.0,441994.0,472692.0,525770.0,675908.0
Toraja Utara,367325.0,393478.0,408827.0,309806.0,314426.0,328096.0,348611.0,364343.0,395731.0,413029.0
Trenggalek,260133.0,275426.0,288779.0,308644.0,323787.0,340915.0,358831.0,381448.0,411527.0,434146.0
Tuban,277599.0,294543.0,308822.0,328268.0,348503.0,371465.0,388176.0,421287.0,454336.0,488131.0
Tulang Bawang Barat,329796.0,358939.0,370332.0,384933.0,391096.0,432693.0,447327.0,476712.0,511418.0,544020.0
Tulangbawang,337167.0,362185.0,373681.0,384465.0,393676.0,438744.0,456567.0,486739.0,522396.0,560324.0
Tulungagung,292483.0,304518.0,314532.0,328640.0,341651.0,362213.0,374183.0,391888.0,423875.0,447793.0
Wajo,253164.0,258821.0,264376.0,297121.0,311017.0,350765.0,361181.0,375022.0,402351.0,431291.0
Wakatobi,218939.0,234351.0,239819.0,256308.0,278929.0,294440.0,302511.0,319981.0,340151.0,355748.0
Waropen,536760.0,567808.0,627112.0,632478.0,655060.0,691544.0,731467.0,769979.0,810167.0,835594.0
Way Kanan,291207.0,313733.0,323691.0,333033.0,341012.0,377712.0,389088.0,409522.0,433471.0,464717.0
Wonogiri,252903.0,275507.0,284710.0,293357.0,327364.0,341643.0,356728.0,376763.0,414901.0,443563.0
Wonosobo,275180.0,297422.0,308553.0,323490.0,340827.0,362683.0,373474.0,399180.0,425105.0,456351.0
Yahukimo,303586.0,320783.0,338613.0,379628.0,414936.0,428433.0,466113.0,496222.0,549772.0,718084.0
Yalimo,270455.0,286170.0,316059.0,320971.0,330040.0,347171.0,378167.0,395868.0,434256.0,600536.0
