kabupaten_kota,pengeluaran_perkapita_2015,pengeluaran_perkapita_2016,pengeluaran_perkapita_2017,pengeluaran_perkapita_2018,pengeluaran_perkapita_2019,pengeluaran_perkapita_2020,pengeluaran_perkapita_2021,pengeluaran_perkapita_2022,pengeluaran_perkapita_2023,pengeluaran_perkapita_2024
Flores Timur,7150.0,7237.0,7442.0,7573.0,7770.0,7631.0,7578.0,7918.0,8223.0,8505.0
Garut,6875.0,7079.0,7270.0,7597.0,8099.0,7876.0,7961.0,8227.0,8685.0,9168.0
Gayo Lues,7780.0,8048.0,8322.0,8529.0,8845.0,8791.0,8856.0,9094.0,9407.0,9967.0
Gianyar,13578.0,13766.0,14222.0,14376.0,14623.0,14544.0,14391.0,14630.0,15047.0,15577.0
Gorontalo,8398.0,8589.0,8828.0,9071.0,9361.0,9277.0,9412.0,9850.0,10336.0,10645.0
Gorontalo Utara,8178.0,8270.0,8480.0,8780.0,8982.0,8921.0,9064.0,9636.0,10037.0,10476.0
Gowa,8578.0,8717.0,9009.0,9179.0,9369.0,9394.0,9504.0,9812.0,10233.0,10700.0
Gresik,11548.0,11961.0,12375.0,12845.0,13295.0,13246.0,13280.0,13384.0,13870.0,14356.0
Grobogan,9457.0,9487.0,9716.0,10097.0,10350.0,10221.0,10294.0,10610.0,11083.0,11548.0
Gunung Kidul,8336.0,8467.0,8788.0,9163.0,9612.0,9486.0,9505.0,9874.0,10065.0,10630.0
Gunung Mas,10044.0,10155.0,10276.0,10504.0,10822.0,10793.0,10809.0,10990.0,11462.0,11902.0
Halmahera Barat,6889.0,7076.0,7266.0,7418.0,7660.0,7352.0,7467.0,7636.0,8046.0,8426.0
Halmahera Selatan,6791.0,6894.0,7026.0,7156.0,7298.0,7068.0,7142.0,7479.0,7883.0,8210.0
Halmahera Tengah,7359.0,7481.0,7688.0,7885.0,8258.0,7841.0,7966.0,8212.0,8675.0,9140.0
Halmahera Timur,7410.0,7560.0,7841.0,7969.0,8127.0,7876.0,7973.0,8230.0,8650.0,8999.0
Halmahera Utara,6957.0,7110.0,7302.0,7519.0,7713.0,7414.0,7519.0,7774.0,8152.0,8607.0
Hulu Sungai Selatan,11161.0,11623.0,11890.0,12535.0,12835.0,12672.0,12736.0,13157.0,13743.0,14150.0
Hulu Sungai Tengah,11142.0,11527.0,11635.0,12138.0,12257.0,12153.0,12280.0,12448.0,12782.0,13176.0
Hulu Sungai Utara,8298.0,8668.0,9100.0,9567.0,9772.0,9527.0,9644.0,10132.0,10491.0,10981.0
Humbang Hasundutan,6889.0,7135.0,7412.0,7630.0,7902.0,7850.0,8016.0,8250.0,8476.0,8844.0
Indragiri Hilir,9787.0,9911.0,10041.0,10254.0,10382.0,9954.0,9945.0,10234.0,10659.0,11050.0
Indragiri Hulu,9776.0,10068.0,10223.0,10481.0,10738.0,10202.0,10260.0,10472.0,10957.0,11333.0
Indramayu,8769.0,8866.0,9014.0,9633.0,10090.0,9859.0,9810.0,10166.0,10580.0,11010.0
Intan Jaya,5015.0,5038.0,5293.0,5440.0,5593.0,5283.0,5328.0,5624.0,6140.0,6463.0
