kabupaten_kota,pengeluaran_perkapita_2015,pengeluaran_perkapita_2016,pengeluaran_perkapita_2017,pengeluaran_perkapita_2018,pengeluaran_perkapita_2019,pengeluaran_perkapita_2020,pengeluaran_perkapita_2021,pengeluaran_perkapita_2022,pengeluaran_perkapita_2023,pengeluaran_perkapita_2024
Tana Toraja,6273.0,6509.0,6801.0,7087.0,7253.0,7217.0,7434.0,7584.0,8017.0,8319.0
Tanah Bumbu,10781.0,11006.0,11244.0,11710.0,12025.0,11718.0,11844.0,12217.0,12516.0,13026.0
Tanah Datar,10103.0,10296.0,10311.0,10417.0,10709.0,10588.0,10616.0,10695.0,10905.0,11223.0
Tanah Laut,10753.0,10862.0,10925.0,11209.0,11318.0,11207.0,11310.0,11703.0,12198.0,12595.0
Tangerang,11727.0,11863.0,11914.0,12179.0,12476.0,12203.0,12273.0,12427.0,12749.0,13254.0
Tanggamus,7961.0,8483.0,8661.0,9107.0,9294.0,9250.0,9266.0,9557.0,10038.0,10524.0
Tanjung Jabung Barat,8478.0,8872.0,9004.0,9395.0,9539.0,9480.0,9699.0,9968.0,10229.0,10696.0
Tanjung Jabung Timur,7810.0,8136.0,8403.0,8904.0,9192.0,9026.0,9163.0,9503.0,9898.0,10328.0
Tapanuli Selatan,10623.0,10821.0,10955.0,11209.0,11410.0,11236.0,11304.0,11727.0,11829.0,12213.0
Tapanuli Tengah,9555.0,9694.0,9852.0,10067.0,10175.0,10071.0,10138.0,10495.0,10690.0,11128.0
Tapanuli Utara,11079.0,11242.0,11407.0,11607.0,11791.0,11648.0,11710.0,11892.0,12115.0,12382.0
Tapin,10905.0,11237.0,11411.0,11847.0,12088.0,11841.0,11952.0,12247.0,12776.0,13163.0
Tasikmalaya,6934.0,7081.0,7250.0,7761.0,8092.0,7852.0,7829.0,8177.0,8562.0,8965.0
Tebo,9434.0,9745.0,9832.0,10273.0,10555.0,10389.0,10546.0,10725.0,10894.0,11415.0
Tegal,8367.0,8709.0,9136.0,9433.0,9798.0,9612.0,9700.0,10020.0,10537.0,10972.0
Teluk Bintuni,9129.0,9208.0,9463.0,9622.0,9821.0,9974.0,9708.0,9979.0,10324.0,10592.0
Teluk Wondama,7317.0,7434.0,7694.0,7927.0,8198.0,8219.0,8034.0,8177.0,8490.0,8887.0
Temanggung,8369.0,8593.0,8794.0,9142.0,9489.0,9343.0,9408.0,9773.0,10108.0,10519.0
Timor Tengah Selatan,6118.0,6360.0,6676.0,6855.0,6955.0,6861.0,6839.0,7118.0,7450.0,7755.0
Timor Tengah Utara,5799.0,5930.0,6164.0,6357.0,6479.0,6364.0,6324.0,6559.0,6889.0,7242.0
Tojo Una-Una,7171.0,7361.0,7465.0,7608.0,7765.0,7606.0,7621.0,8096.0,8550.0,8863.0
Toli-Toli,7156.0,7493.0,7916.0,8017.0,8156.0,7917.0,7947.0,8191.0,8665.0,8918.0
Tolikara,4518.0,4711.0,4827.0,4946.0,5142.0,4826.0,4841.0,5079.0,5397.0,5653.0
Toraja Utara,7033.0,7228.0,7457.0,7783.0,8083.0,8097.0,8134.0,8494.0,8871.0,9292.0
Trenggalek,8445.0,8829.0,9034.0,9400.0,9865.0,9630.0,9743.0,10042.0,10465.0,10872.0
Tuban,8940.0,9353.0,9540.0,10048.0,10499.0,10238.0,10380.0,10703.0,11174.0,11579.0
Tulang Bawang Barat,7332.0,7450.0,7747.0,8205.0,8532.0,8395.0,8422.0,8737.0,9162.0,9646.0
Tulangbawang,9893.0,10034.0,10098.0,10553.0,10797.0,10683.0,10735.0,11114.0,11552.0,12122.0
Tulungagung,9534.0,9881.0,10114.0,10455.0,10891.0,10705.0,10807.0,11162.0,11565.0,11966.0
Wajo,11047.0,11681.0,11770.0,12057.0,12399.0,12386.0,12505.0,12729.0,13192.0,13608.0
Wakatobi,8484.0,8651.0,8800.0,9136.0,9388.0,9204.0,9280.0,9758.0,10240.0,10739.0
Waropen,6070.0,6270.0,6810.0,6978.0,7018.0,6732.0,6788.0,6919.0,7335.0,7569.0
Way Kanan,8313.0,8411.0,8522.0,8979.0,9292.0,9102.0,9173.0,9450.0,9887.0,10439.0
Wonogiri,8417.0,8589.0,8765.0,9117.0,9426.0,9286.0,9429.0,9780.0,10283.0,10634.0
Wonosobo,9736.0,9877.0,9969.0,10503.0,10871.0,10621.0,10760.0,11108.0,11577.0,11980.0
Yahukimo,4109.0,4248.0,4554.0,4737.0,5030.0,4875.0,4895.0,5101.0,5351.0,5747.0
Yalimo,4321.0,4435.0,4702.0,4799.0,4860.0,4647.0,4664.0,4802.0,5015.0,5226.0
