kabupaten_kota,ipm,garis_kemiskinan,pengeluaran_perkapita,tahun
Ponorogo,68.16,251525.0,8654.0,2015
Trenggalek,67.25,260133.0,8445.0,2015
Tulungagung,70.07,292483.0,9534.0,2015
Blitar,68.13,255966.0,9272.0,2015
Kediri,68.91,261088.0,9883.0,2015
Malang,66.63,265629.0,8845.0,2015
Lumajang,63.02,245806.0,7921.0,2015
Jember,63.04,283510.0,8255.0,2015
Banyuwangi,68.08,295185.0,10692.0,2015
Bondowoso,63.95,313734.0,9519.0,2015
Situbondo,64.53,254656.0,8677.0,2015
Probolinggo,63.83,355051.0,9976.0,2015
Pasuruan,65.04,292281.0,8707.0,2015
Sidoarjo,77.43,371947.0,12879.0,2015
Mojokerto,70.85,311022.0,11559.0,2015
Jombang,69.59,316922.0,9963.0,2015
Nganjuk,69.9,322820.0,10995.0,2015
Madiun,69.39,277092.0,10710.0,2015
Magetan,71.39,272972.0,10594.0,2015
Ngawi,68.32,250008.0,10584.0,2015
Bojonegoro,66.17,284319.0,8993.0,2015
Tuban,65.52,277599.0,8940.0,2015
Lamongan,69.84,303780.0,9821.0,2015
Gresik,73.57,372661.0,11548.0,2015
Bangkalan,61.49,319120.0,7667.0,2015
Sampang,58.18,284928.0,7827.0,2015
Pamekasan,63.1,278093.0,7679.0,2015
Sumenep,62.38,284756.0,7577.0,2015
Kota Kediri,75.67,386521.0,10733.0,2015
Kota Blitar,76.0,338532.0,12258.0,2015
Kota Malang,80.05,411709.0,15420.0,2015
Kota Probolinggo,71.01,403037.0,10558.0,2015
Kota Pasuruan,73.78,343392.0,11963.0,2015
Kota Mojokerto,75.54,348670.0,12060.0,2015
Kota Madiun,79.48,359771.0,14723.0,2015
Kota Surabaya,79.47,418930.0,15991.0,2015
Kota Batu,72.62,380393.0,11274.0,2015
Pandeglang,62.72,247073.0,7730.0,2015
Lebak,62.03,228146.0,8111.0,2015
Tangerang,70.05,372431.0,11727.0,2015
Serang,64.61,232856.0,10004.0,2015
Kota Tangerang,76.08,455228.0,13766.0,2015
Kota Cilegon,71.81,323935.0,12127.0,2015
Kota Serang,70.51,255614.0,12289.0,2015
Kota Tangerang Selatan,79.38,433967.0,14588.0,2015
Jembrana,69.66,330073.0,11168.0,2015
Tabanan,73.54,365022.0,13665.0,2015
Badung,78.86,454916.0,16409.0,2015
Gianyar,75.03,320805.0,13578.0,2015
Klungkung,68.98,264866.0,10711.0,2015
Bangli,66.24,283849.0,10649.0,2015
Buleleng,70.03,327357.0,12587.0,2015
Kota Denpasar,82.24,463271.0,18849.0,2015
Lombok Barat,64.62,353667.0,10588.0,2015
Lombok Tengah,62.74,335286.0,8846.0,2015
Lombok Timur,62.83,359235.0,8100.0,2015
Sumbawa,63.91,272274.0,7743.0,2015
Dompu,64.56,243467.0,7479.0,2015
Bima,63.48,255962.0,7371.0,2015
Sumbawa Barat,68.38,408991.0,10234.0,2015
Lombok Utara,61.15,363367.0,7940.0,2015
Kota Mataram,76.37,397468.0,13399.0,2015
Kota Bima,72.99,274394.0,9594.0,2015
Sumba Barat,61.36,274779.0,6776.0,2015
Sumba Timur,62.54,274969.0,8883.0,2015
Kupang,62.04,282496.0,7085.0,2015
Timor Tengah Selatan,59.9,254454.0,6118.0,2015
Timor Tengah Utara,60.96,290296.0,5799.0,2015
Belu,60.54,279442.0,7083.0,2015
Alor,58.5,250327.0,6346.0,2015
Lembata,62.16,288970.0,6888.0,2015
Flores Timur,61.24,226252.0,7150.0,2015
Sikka,61.81,247641.0,7618.0,2015
Ende,65.54,291770.0,8679.0,2015
Ngada,65.1,271299.0,8085.0,2015
Manggarai,60.87,264012.0,6875.0,2015
Rote Ndao,58.32,255551.0,5946.0,2015
Manggarai Barat,60.04,263746.0,7012.0,2015
Sumba Tengah,57.91,233078.0,5821.0,2015
Sumba Barat Daya,60.53,287622.0,5933.0,2015
Nagekeo,63.33,274620.0,7906.0,2015
Manggarai Timur,56.83,260411.0,5246.0,2015
Sabu Raijua,53.28,310381.0,4781.0,2015
Malaka,57.51,279799.0,5563.0,2015
Kota Kupang,77.95,455924.0,12856.0,2015
Sambas,64.14,329993.0,9195.0,2015
Bengkayang,64.65,273629.0,8489.0,2015
Landak,64.12,287822.0,6670.0,2015
Sanggau,63.05,250928.0,7622.0,2015
Ketapang,64.03,356319.0,8350.0,2015
Sintang,64.18,421877.0,8224.0,2015
Kapuas Hulu,63.73,346335.0,6640.0,2015
Sekadau,62.34,256452.0,6795.0,2015
Melawi,63.78,408635.0,7841.0,2015
Kayong Utara,60.09,230320.0,6950.0,2015
Kubu Raya,65.02,305859.0,7994.0,2015
Kota Pontianak,77.52,403905.0,13737.0,2015
Kota Singkawang,70.03,376797.0,10982.0,2015
Kotawaringin Barat,70.6,293436.0,11979.0,2015
Kotawaringin Timur,68.61,325234.0,10525.0,2015
Kapuas,66.07,252866.0,9894.0,2015
Barito Selatan,68.27,333917.0,10570.0,2015
Barito Utara,67.38,408241.0,8534.0,2015
Sukamara,65.8,384739.0,7709.0,2015
Lamandau,68.3,350294.0,9999.0,2015
Seruyan,64.77,357090.0,8026.0,2015
Katingan,66.81,356695.0,9599.0,2015
Pulang Pisau,65.76,314673.0,8639.0,2015
Gunung Mas,69.24,356866.0,10044.0,2015
Barito Timur,69.71,415710.0,10570.0,2015
Murung Raya,66.46,378062.0,9328.0,2015
Kota Palangka Raya,78.62,307796.0,12629.0,2015
Tanah Laut,66.99,354481.0,10753.0,2015
Banjar,66.39,327970.0,12185.0,2015
Barito Kuala,63.53,246397.0,9062.0,2015
Tapin,67.67,330033.0,10905.0,2015
Hulu Sungai Selatan,66.31,365097.0,11161.0,2015
Hulu Sungai Tengah,66.56,279530.0,11142.0,2015
Hulu Sungai Utara,62.49,346066.0,8298.0,2015
Tabalong,69.35,368924.0,10171.0,2015
Tanah Bumbu,67.58,370670.0,10781.0,2015
Balangan,65.34,312445.0,10736.0,2015
Kota Banjarmasin,75.41,384659.0,12834.0,2015
Kota Banjar Baru,77.56,463579.0,12467.0,2015
Paser,70.3,363060.0,9900.0,2015
Kutai Barat,69.34,410307.0,9380.0,2015
Kutai Kartanegara,71.78,389195.0,10250.0,2015
Kutai Timur,70.76,431328.0,9704.0,2015
Berau,72.72,426681.0,11572.0,2015
Penajam Paser Utara,69.26,360245.0,10913.0,2015
Kota Balikpapan,78.18,485665.0,13705.0,2015
Kota Samarinda,78.69,533401.0,13825.0,2015
Kota Bontang,78.78,479060.0,15980.0,2015
Malinau,70.15,473906.0,9415.0,2015
Bulungan,69.37,352063.0,8877.0,2015
Tana Tidung,64.92,326201.0,6807.0,2015
Nunukan,63.35,327515.0,6199.0,2015
Kota Tarakan,74.7,485447.0,10642.0,2015
Bolaang Mongondow,65.03,257170.0,9369.0,2015
Minahasa,73.59,234223.0,11405.0,2015
Kepulauan Sangihe,67.56,215355.0,10536.0,2015
Kepulauan Talaud,66.92,228813.0,8008.0,2015
Minahasa Selatan,69.18,262940.0,10674.0,2015
Minahasa Utara,71.09,261951.0,10410.0,2015
Bolaang Mongondow Utara,64.46,207328.0,8212.0,2015
Siau Tagulandang Biaro,65.0,245388.0,7537.0,2015
Minahasa Tenggara,68.05,277491.0,9679.0,2015
Bolaang Mongondow Selatan,63.72,256141.0,8242.0,2015
Bolaang Mongondow Timur,63.81,261715.0,8025.0,2015
Kota Manado,77.32,313597.0,12933.0,2015
Kota Bitung,71.64,321549.0,11513.0,2015
Kota Tomohon,74.36,313236.0,10469.0,2015
Kota Kotamobagu,70.7,255330.0,9743.0,2015
Banggai Kepulauan,62.97,260814.0,7161.0,2015
Banggai,67.44,311258.0,8895.0,2015
Morowali,69.12,343269.0,10245.0,2015
Poso,68.13,378190.0,7971.0,2015
Donggala,63.82,251529.0,7407.0,2015
Toli-Toli,62.72,244472.0,7156.0,2015
Buol,65.61,271525.0,7475.0,2015
Parigi Moutong,62.79,318088.0,9150.0,2015
Tojo Una-Una,61.33,362840.0,7171.0,2015
Sigi,65.35,251721.0,7376.0,2015
Banggai Laut,62.9,274333.0,7406.0,2015
Morowali Utara,66.0,347848.0,8422.0,2015
Kota Palu,79.63,416596.0,14545.0,2015
Kepulauan Selayar,64.32,286032.0,7793.0,2015
Bulukumba,65.58,272703.0,9777.0,2015
Bantaeng,66.2,217595.0,10467.0,2015
Jeneponto,61.61,291408.0,8489.0,2015
Takalar,64.07,278538.0,9423.0,2015
Gowa,66.87,306328.0,8578.0,2015
Sinjai,64.48,231732.0,8433.0,2015
Maros,67.13,307717.0,9468.0,2015
Barru,68.64,263210.0,9811.0,2015
Bone,63.11,252392.0,7930.0,2015
Soppeng,65.33,213164.0,8835.0,2015
Wajo,66.9,253164.0,11047.0,2015
Sidenreng Rappang,69.0,255135.0,11004.0,2015
Pinrang,69.24,234897.0,10791.0,2015
Enrekang,70.03,258472.0,9818.0,2015
Luwu,68.11,252549.0,9160.0,2015
Tana Toraja,65.75,238838.0,6273.0,2015
Luwu Utara,67.44,265822.0,10697.0,2015
Luwu Timur,70.43,254957.0,11926.0,2015
Toraja Utara,66.76,367325.0,7033.0,2015
Kota Parepare,76.31,270508.0,12817.0,2015
Kota Palopo,76.27,246727.0,12005.0,2015
Buton,62.78,198183.0,6829.0,2015
Muna,65.99,269838.0,7742.0,2015
Konawe,69.56,241617.0,9471.0,2015
Kolaka,70.47,292370.0,11942.0,2015
Konawe Selatan,66.32,181796.0,8386.0,2015
Bombana,63.65,246908.0,7392.0,2015
Wakatobi,67.22,218939.0,8484.0,2015
Kolaka Utara,66.9,356680.0,9535.0,2015
Buton Utara,65.23,258425.0,6998.0,2015
Konawe Utara,66.44,216578.0,8619.0,2015
Kolaka Timur,62.74,291862.0,7157.0,2015
Konawe Kepulauan,61.72,240679.0,6093.0,2015
Kota Kendari,81.43,270861.0,13558.0,2015
Kota Baubau,73.59,274066.0,9852.0,2015
Boalemo,62.86,309227.0,7817.0,2015
Gorontalo,63.63,343373.0,8398.0,2015
Pohuwato,62.5,222996.0,9146.0,2015
Bone Bolango,66.83,304627.0,8900.0,2015
Gorontalo Utara,62.55,222054.0,8178.0,2015
Kota Gorontalo,75.62,404620.0,11269.0,2015
Majene,64.4,290568.0,9227.0,2015
Polewali Mandar,60.87,305462.0,7331.0,2015
Mamasa,63.17,213369.0,7102.0,2015
Mamuju,65.09,202167.0,8557.0,2015
Mamuju Tengah,62.22,203120.0,7404.0,2015
Maluku Tenggara,63.35,331518.0,6851.0,2015
Maluku Tengah,68.85,391011.0,9578.0,2015
Buru,65.75,383904.0,9615.0,2015
Kepulauan Aru,60.5,312520.0,6941.0,2015
Seram Bagian Barat,63.02,320963.0,7921.0,2015
Seram Bagian Timur,60.27,311770.0,8615.0,2015
Maluku Barat Daya,58.64,329863.0,6189.0,2015
Buru Selatan,61.48,500864.0,7026.0,2015
Kota Ambon,79.3,473236.0,13318.0,2015
Kota Tual,65.2,328247.0,6683.0,2015
Halmahera Barat,62.97,269068.0,6889.0,2015
Halmahera Tengah,62.07,361983.0,7359.0,2015
Kepulauan Sula,60.5,284471.0,6545.0,2015
Halmahera Selatan,61.26,245113.0,6791.0,2015
Halmahera Utara,65.04,195091.0,6957.0,2015
Halmahera Timur,63.99,441911.0,7410.0,2015
Pulau Morotai,59.27,211627.0,5809.0,2015
Pulau Taliabu,58.26,286373.0,6158.0,2015
Kota Ternate,77.64,459551.0,12529.0,2015
Kota Tidore Kepulauan,67.45,340912.0,7631.0,2015
Fakfak,64.92,433491.0,6796.0,2015
Kaimana,61.33,336596.0,7341.0,2015
Teluk Wondama,56.64,446542.0,7317.0,2015
Teluk Bintuni,61.09,541295.0,9129.0,2015
Manokwari,69.91,502049.0,11328.0,2015
Sorong Selatan,58.6,263877.0,5550.0,2015
Sorong,61.86,290375.0,6457.0,2015
Raja Ampat,61.23,282739.0,7191.0,2015
Tambrauw,49.77,290732.0,4431.0,2015
Maybrat,55.78,292468.0,4576.0,2015
Manokwari Selatan,56.59,506558.0,4578.0,2015
Pegunungan Arfak,53.73,530286.0,4570.0,2015
Kota Sorong,75.91,570657.0,12590.0,2015
Merauke,67.75,294257.0,9953.0,2015
Jayawijaya,54.18,349878.0,7068.0,2015
Jayapura,70.04,454989.0,9622.0,2015
Nabire,66.49,486456.0,8725.0,2015
Kepulauan Yapen,65.28,512934.0,7320.0,2015
Biak Numfor,70.85,466074.0,9603.0,2015
